,date,team,opponent,venue,time,pf,pa,result
0,2024-10-22,Boston Celtics,New York Knicks,Home,19:30,132,109,W
1,2024-10-22,Los Angeles Lakers,Minnesota Timberwolves,Home,22:00,110,103,W
2,2024-10-22,Minnesota Timberwolves,Los Angeles Lakers,Away,22:00,103,110,L
3,2024-10-22,New York Knicks,Boston Celtics,Away,19:30,109,132,L
4,2024-10-23,Atlanta Hawks,Brooklyn Nets,Home,19:30,120,116,W
5,2024-10-23,Brooklyn Nets,Atlanta Hawks,Away,19:30,116,120,L
6,2024-10-23,Charlotte Hornets,Houston Rockets,Away,20:00,110,105,W
7,2024-10-23,Chicago Bulls,New Orleans Pelicans,Away,20:00,111,123,L
8,2024-10-23,Cleveland Cavaliers,Toronto Raptors,Away,19:30,136,106,W
9,2024-10-23,Detroit Pistons,Indiana Pacers,Home,19:00,109,115,L
10,2024-10-23,Golden State Warriors,Portland Trail Blazers,Away,22:00,140,104,W
11,2024-10-23,Houston Rockets,Charlotte Hornets,Home,20:00,105,110,L
12,2024-10-23,Indiana Pacers,Detroit Pistons,Away,19:00,115,109,W
13,2024-10-23,Los Angeles Clippers,Phoenix Suns,Home,22:00,113,116,L
14,2024-10-23,Memphis Grizzlies,Utah Jazz,Away,21:00,126,124,W
15,2024-10-23,Miami Heat,Orlando Magic,Home,19:30,97,116,L
16,2024-10-23,Milwaukee Bucks,Philadelphia 76ers,Away,19:30,124,109,W
17,2024-10-23,New Orleans Pelicans,Chicago Bulls,Home,20:00,123,111,W
18,2024-10-23,Orlando Magic,Miami Heat,Away,19:30,116,97,W
19,2024-10-23,Philadelphia 76ers,Milwaukee Bucks,Home,19:30,109,124,L
20,2024-10-23,Phoenix Suns,Los Angeles Clippers,Away,22:00,116,113,W
21,2024-10-23,Portland Trail Blazers,Golden State Warriors,Home,22:00,104,140,L
22,2024-10-23,Toronto Raptors,Cleveland Cavaliers,Home,19:30,106,136,L
23,2024-10-23,Utah Jazz,Memphis Grizzlies,Home,21:00,124,126,L
24,2024-10-24,Boston Celtics,Washington Wizards,Away,19:00,122,102,W
25,2024-10-24,Dallas Mavericks,San Antonio Spurs,Home,19:30,120,109,W
26,2024-10-24,Denver Nuggets,Oklahoma City Thunder,Home,22:00,87,102,L
27,2024-10-24,Minnesota Timberwolves,Sacramento Kings,Away,22:00,117,115,W
28,2024-10-24,Oklahoma City Thunder,Denver Nuggets,Away,22:00,102,87,W
29,2024-10-24,Sacramento Kings,Minnesota Timberwolves,Home,22:00,115,117,L
30,2024-10-24,San Antonio Spurs,Dallas Mavericks,Away,19:30,109,120,L
31,2024-10-24,Washington Wizards,Boston Celtics,Home,19:00,102,122,L
32,2024-10-25,Atlanta Hawks,Charlotte Hornets,Home,19:30,125,120,W
33,2024-10-25,Brooklyn Nets,Orlando Magic,Away,19:00,101,116,L
34,2024-10-25,Charlotte Hornets,Atlanta Hawks,Away,19:30,120,125,L
35,2024-10-25,Chicago Bulls,Milwaukee Bucks,Away,20:00,133,122,W
36,2024-10-25,Cleveland Cavaliers,Detroit Pistons,Home,19:30,113,101,W
37,2024-10-25,Detroit Pistons,Cleveland Cavaliers,Away,19:30,101,113,L
38,2024-10-25,Golden State Warriors,Utah Jazz,Away,21:30,127,86,W
39,2024-10-25,Houston Rockets,Memphis Grizzlies,Home,20:00,128,108,W
40,2024-10-25,Indiana Pacers,New York Knicks,Away,19:30,98,123,L
41,2024-10-25,Los Angeles Lakers,Phoenix Suns,Home,22:00,123,116,W
42,2024-10-25,Memphis Grizzlies,Houston Rockets,Away,20:00,108,128,L
43,2024-10-25,Milwaukee Bucks,Chicago Bulls,Home,20:00,122,133,L
44,2024-10-25,New Orleans Pelicans,Portland Trail Blazers,Away,22:00,105,103,W
